Month,Region,Category,Sales,Units_Sold,Profit,Profit_Margin_%
Jan 2023,North,Electronics,171958,1559,58066.53,33.77
Jan 2023,North,Clothing,309178,1195,77190.81,24.97
Jan 2023,North,Furniture,104886,221,14579.01,13.9
Jan 2023,North,Groceries,480410,1582,152070.92,31.65
Jan 2023,North,Sports,225203,971,62385.32,27.7
Jan 2023,South,Electronics,379365,1432,129923.96,34.25
Jan 2023,South,Clothing,244027,1537,37356.82,15.31
Jan 2023,South,Furniture,317455,1055,46301.17,14.59
Jan 2023,South,Groceries,234779,1437,54278.35,23.12
Jan 2023,South,Sports,308795,956,53362.03,17.28
Jan 2023,East,Electronics,206730,610,27882.39,13.49
Jan 2023,East,Clothing,180523,799,34586.48,19.16
Jan 2023,East,Furniture,115725,1057,34288.62,29.63
Jan 2023,East,Groceries,431490,1999,98620.75,22.86
Jan 2023,East,Sports,81551,1628,9102.12,11.16
Jan 2023,West,Electronics,53890,746,7686.39,14.26
Jan 2023,West,Clothing,399457,487,134037.97,33.56
Jan 2023,West,Furniture,289629,341,56869.85,19.64
Jan 2023,West,Groceries,467113,664,73674.68,15.77
Jan 2023,West,Sports,301995,1490,81785.04,27.08
Jan 2023,Central,Electronics,98555,608,30384.38,30.83
Jan 2023,Central,Clothing,156530,305,30956.18,19.78
Jan 2023,Central,Furniture,250551,1511,44579.98,17.79
Jan 2023,Central,Groceries,258261,665,61124.59,23.67
Jan 2023,Central,Sports,221829,1600,75953.4,34.24
Feb 2023,North,Electronics,252283,261,50150.72,19.88
Feb 2023,North,Clothing,149299,369,42075.15,28.18
Feb 2023,North,Furniture,61534,555,14928.82,24.26
Feb 2023,North,Groceries,403531,1116,137318.78,34.03
Feb 2023,North,Sports,270884,819,77697.67,28.68
Feb 2023,South,Electronics,132798,1176,32759.65,24.67
Feb 2023,South,Clothing,244776,863,61624.45,25.18
Feb 2023,South,Furniture,286584,1280,86132.6,30.05
Feb 2023,South,Groceries,426896,1980,148014.12,34.67
Feb 2023,South,Sports,170151,1252,25468.02,14.97
Feb 2023,East,Electronics,174375,1186,52986.52,30.39
Feb 2023,East,Clothing,351648,491,99253.28,28.23
Feb 2023,East,Furniture,179312,478,21250.47,11.85
Feb 2023,East,Groceries,338998,1117,43719.64,12.9
Feb 2023,East,Sports,334806,300,85651.59,25.58
Feb 2023,West,Electronics,425713,1156,49335.7,11.59
Feb 2023,West,Clothing,347366,1697,62976.01,18.13
Feb 2023,West,Furniture,323109,1670,70455.12,21.81
Feb 2023,West,Groceries,425396,1585,132820.74,31.22
Feb 2023,West,Sports,264020,1341,41978.18,15.9
Feb 2023,Central,Electronics,423133,970,46590.5,11.01
Feb 2023,Central,Clothing,443422,1138,56635.06,12.77
Feb 2023,Central,Furniture,73419,1584,11044.41,15.04
Feb 2023,Central,Groceries,100015,842,21887.54,21.88
Feb 2023,Central,Sports,235340,195,64454.69,27.39
